423, 289, 712
928, 663, 1591
525, 391, 916
450, 377, 827
1379, 650, 2029
529, 403, 932
504, 422, 926
1137, 966, 2103
440, 332, 772
1377, 1479, 2856
622, 530, 1152
1197, 1703, 2900
1088, 903, 1991
643, 248, 891
717, 447, 1164
1437, 1073, 2510
365, 273, 638
1468, 1001, 2469
1379, 1398, 2777
1011, 870, 1881
235, 168, 403
1137, 1862, 2999
1020, 719, 1739
598, 495, 1093
1089, 839, 1928
1237, 1096, 2333
804, 657, 1461
556, 350, 906
422, 311, 733
592, 393, 985
354, 264, 618
358, 298, 656
624, 479, 1103
1033, 900, 1933
856, 745, 1601
472, 345, 817
1139, 1334, 2473
449, 337, 786
326, 200, 526
377, 279, 656
532, 266, 798
658, 514, 1172
381, 256, 637
1249, 2048, 3297
701, 531, 1232
281, 162, 443
828, 695, 1523
670, 521, 1191
315, 236, 551
307, 211, 518
1279, 1055, 2334
451, 380, 831
425, 321, 746
474, 380, 854
187, 119, 306
701, 550, 1251
301, 205, 506
539, 387, 926
337, 263, 600
514, 371, 885
1179, 2048, 3227
801, 620, 1421
1291, 1726, 3017
1179, 957, 2136
774, 603, 1377
388, 303, 691
496, 383, 879
611, 469, 1080
990, 812, 1802
786, 629, 1415
420, 334, 754
573, 479, 1052
410, 297, 707
531, 353, 884
579, 481, 1060
734, 619, 1353
487, 362, 849
303, 220, 523
1217, 1366, 2583
300, 211, 511
1171, 1088, 2259
587, 444, 1031
903, 688, 1591
820, 727, 1547
1135, 978, 2113
602, 437, 1039
380, 261, 641
690, 597, 1287
1253, 1891, 3144
816, 720, 1536
303, 176, 479
592, 461, 1053
798, 684, 1482
629, 499, 1128
1747, 1010, 2757
902, 697, 1599
1295, 2048, 3343
419, 277, 696
274, 197, 471
1115, 909, 2024
1481, 1955, 3436
1461, 2048, 3509
320, 251, 571
1293, 1737, 3030
1121, 917, 2038
1049, 375, 1424
552, 411, 963
627, 518, 1145
1251, 2048, 3299
1361, 1653, 3014
1315, 2048, 3363
494, 347, 841
1032, 836, 1868
407, 305, 712
939, 742, 1681
572, 494, 1066
303, 208, 511
350, 265, 615
1023, 927, 1950
1385, 1078, 2463
655, 497, 1152
336, 249, 585
503, 316, 819
1429, 886, 2315
770, 666, 1436
355, 250, 605
1227, 2048, 3275
345, 275, 620
498, 406, 904
1191, 1480, 2671
761, 637, 1398
576, 459, 1035
549, 410, 959
472, 349, 821
1313, 1438, 2751
579, 394, 973
1237, 989, 2226
452, 369, 821
984, 781, 1765
1181, 1087, 2268
740, 632, 1372
662, 497, 1159
704, 543, 1247
899, 698, 1597
401, 261, 662
1195, 1633, 2828
331, 255, 586
1175, 1956, 3131
306, 200, 506
865, 705, 1570
1527, 2048, 3575
1256, 863, 2119
1243, 1372, 2615
661, 447, 1108
1367, 1552, 2919
779, 630, 1409
1467, 1187, 2654
623, 490, 1113
638, 550, 1188
497, 353, 850
571, 481, 1052
249, 186, 435
821, 680, 1501
1221, 1380, 2601
633, 545, 1178
670, 479, 1149
1487, 1645, 3132
404, 206, 610
2413, 1524, 3937
419, 323, 742
1167, 2048, 3215
406, 269, 675
577, 474, 1051
1189, 1086, 2275
565, 456, 1021
921, 792, 1713
447, 366, 813
1581, 1047, 2628
279, 187, 466
1283, 1046, 2329
564, 479, 1043
518, 414, 932
331, 223, 554
1226, 996, 2222
1187, 1806, 2993
262, 181, 443
693, 580, 1273
511, 395, 906
1527, 1790, 3317
1999, 2048, 4047
617, 518, 1135
345, 216, 561
979, 857, 1836
1187, 1033, 2220
1153, 1552, 2705
582, 440, 1022
399, 309, 708
1209, 1414, 2623
448, 349, 797
374, 270, 644
462, 352, 814
987, 795, 1782
966, 769, 1735
661, 501, 1162
1253, 1616, 2869
1377, 1152, 2529
681, 469, 1150
392, 286, 678
441, 350, 791
490, 370, 860
1019, 569, 1588
489, 388, 877
541, 367, 908
1216, 1033, 2249
973, 748, 1721
453, 344, 797
493, 342, 835
744, 671, 1415
354, 245, 599
2458, 1017, 3475
622, 421, 1043
791, 690, 1481
1353, 1315, 2668
777, 667, 1444
1078, 913, 1991
486, 370, 856
430, 331, 761
559, 394, 953
1311, 1487, 2798
484, 280, 764
1245, 1685, 2930
815, 643, 1458
1191, 1008, 2199
773, 517, 1290
893, 723, 1616
734, 625, 1359
1183, 1034, 2217
692, 556, 1248
761, 624, 1385
1293, 1946, 3239
1531, 1322, 2853
1165, 1034, 2199
666, 475, 1141
432, 311, 743
694, 585, 1279
1255, 1802, 3057
650, 481, 1131
760, 639, 1399
1219, 2048, 3267
1161, 1378, 2539
635, 453, 1088
964, 707, 1671
734, 638, 1372
284, 205, 489
623, 451, 1074
517, 362, 879
511, 415, 926
366, 275, 641
654, 466, 1120
351, 269, 620
799, 672, 1471
565, 439, 1004
247, 152, 399
444, 336, 780
1569, 1726, 3295
426, 320, 746
461, 359, 820
1436, 1035, 2471
337, 226, 563
525, 398, 923
564, 386, 950
804, 697, 1501
1047, 903, 1950
535, 343, 878
923, 762, 1685
299, 182, 481
648, 556, 1204
439, 371, 810
504, 419, 923
1068, 675, 1743
741, 606, 1347
1056, 330, 1386
891, 592, 1483
490, 367, 857
1095, 948, 2043
1393, 2048, 3441
1215, 2004, 3219
909, 737, 1646
1317, 1377, 2694
1084, 894, 1978
886, 765, 1651
588, 444, 1032
1329, 1631, 2960
557, 433, 990
1195, 1545, 2740
1279, 1863, 3142
1363, 1162, 2525
878, 647, 1525
1427, 1200, 2627
538, 412, 950
471, 377, 848
2108, 483, 2591
849, 624, 1473
1235, 1230, 2465
997, 882, 1879
499, 389, 888
1179, 1890, 3069
855, 744, 1599
1187, 1667, 2854
1127, 1870, 2997
547, 359, 906
899, 704, 1603
339, 246, 585
485, 364, 849
504, 338, 842
965, 841, 1806
756, 620, 1376
1259, 1028, 2287
559, 464, 1023
358, 257, 615
1325, 1109, 2434
584, 432, 1016
372, 249, 621
993, 866, 1859
1627, 2048, 3675
533, 410, 943
823, 689, 1512
1253, 2048, 3301
1225, 1811, 3036
287, 194, 481
735, 619, 1354
980, 835, 1815
1173, 1554, 2727
766, 589, 1355
625, 517, 1142
1152, 979, 2131
383, 302, 685
567, 448, 1015
336, 264, 600
667, 489, 1156
762, 522, 1284
517, 444, 961
348, 249, 597
436, 325, 761
579, 402, 981
370, 257, 627
619, 507, 1126
619, 467, 1086
486, 418, 904
714, 598, 1312
581, 512, 1093
1100, 906, 2006
1477, 2048, 3525
569, 426, 995
577, 493, 1070
1191, 1469, 2660
881, 777, 1658
706, 531, 1237
852, 699, 1551
1273, 1667, 2940
1010, 515, 1525
1183, 1625, 2808
480, 323, 803
265, 178, 443
864, 686, 1550
1191, 1617, 2808
524, 407, 931
559, 386, 945
546, 428, 974
940, 583, 1523
362, 222, 584
1209, 1422, 2631
1174, 641, 1815
721, 542, 1263
372, 283, 655
711, 601, 1312
975, 785, 1760
1205, 1716, 2921
598, 519, 1117
1553, 1071, 2624
912, 819, 1731
1173, 1935, 3108
1277, 891, 2168
508, 395, 903
230, 139, 369
606, 397, 1003
511, 423, 934
288, 192, 480
679, 561, 1240
1086, 801, 1887
1243, 1034, 2277
1251, 1715, 2966
1635, 2048, 3683
653, 448, 1101
1307, 1822, 3129
429, 314, 743
950, 461, 1411
352, 248, 600
827, 556, 1383
280, 190, 470
1221, 2048, 3269
1165, 1500, 2665
654, 532, 1186
670, 519, 1189
433, 308, 741
407, 301, 708
249, 172, 421
418, 297, 715
1209, 2048, 3257
1203, 1050, 2253
725, 610, 1335
504, 298, 802
1227, 2048, 3275
343, 255, 598
511, 389, 900
985, 884, 1869
944, 859, 1803
462, 301, 763
483, 372, 855
1251, 1059, 2310
687, 567, 1254
1291, 2048, 3339
1299, 2048, 3347
1182, 1026, 2208
519, 396, 915
1239, 1815, 3054
812, 487, 1299
400, 265, 665
1128, 938, 2066
904, 784, 1688
198, 127, 325
1159, 1088, 2247
1235, 1984, 3219
404, 333, 737
814, 698, 1512
767, 667, 1434
1110, 981, 2091
906, 667, 1573
406, 301, 707
622, 563, 1185
445, 357, 802
474, 317, 791
377, 284, 661
366, 270, 636
1439, 1551, 2990
1547, 2048, 3595
926, 755, 1681
534, 403, 937
714, 562, 1276
358, 256, 614
1022, 904, 1926
659, 483, 1142
673, 534, 1207
502, 336, 838
1323, 1212, 2535
383, 300, 683
1013, 921, 1934
235, 164, 399
1077, 810, 1887
1009, 810, 1819
1220, 852, 2072
796, 554, 1350
701, 447, 1148
355, 256, 611
952, 829, 1781
466, 377, 843
1247, 2048, 3295
985, 569, 1554
376, 265, 641
313, 235, 548
1181, 2048, 3229
414, 260, 674
415, 310, 725
1543, 1833, 3376
779, 620, 1399
1399, 2048, 3447
579, 410, 989
656, 533, 1189
1229, 2048, 3277
616, 479, 1095
887, 720, 1607
1285, 2048, 3333
1105, 955, 2060
1181, 1926, 3107
1036, 920, 1956
1481, 1061, 2542
448, 325, 773
425, 272, 697
295, 177, 472
1026, 852, 1878
1265, 1493, 2758
923, 611, 1534
746, 535, 1281
1213, 2048, 3261
1225, 2048, 3273
815, 681, 1496
547, 442, 989
1181, 1606, 2787
1197, 1601, 2798
1038, 880, 1918
